file_name;a–o;MSPA-class_color;FGdata_pixels_porc;BGarea
mb_full_2006_8_1_1_1.txt;2006;Core-Opening [darkgrey];--/ 4.50;601187/67293640
mb_full_2006_8_1_1_1.txt;2006;Border-Opening [grey];--/ 3.96;276006/59139360
mb_full_2007_8_1_1_1.txt;2007;CORE(s) [green];--/--;0
mb_full_2007_8_1_1_1.txt;2007;CORE(m) [green];89.50/48.38;918487
mb_full_2007_8_1_1_1.txt;2007;CORE(l) [green];--/--;0
mb_full_2007_8_1_1_1.txt;2007;ISLET [brown];0.55/ 0.30;478764
mb_full_2007_8_1_1_1.txt;2007;PERFORATION [blue];2.57/ 1.39;312562
mb_full_2007_8_1_1_1.txt;2007;EDGE [black];5.48/ 2.96;696376
mb_full_2007_8_1_1_1.txt;2007;LOOP [yellow];0.00/ 0.00;0
mb_full_2007_8_1_1_1.txt;2007;BRIDGE [red];0.39/ 0.21;666528
mb_full_2007_8_1_1_1.txt;2007;BRANCH [orange];1.51/ 0.82;4138914
mb_full_2007_8_1_1_1.txt;2007;Background [grey];--/45.94;886640/686737398
mb_full_2007_8_1_1_1.txt;2007;Missing [white];45.38;142/1242037707
mb_full_2007_8_1_1_1.txt;2007;Opening [grey];87.60 Integrity;885044/114394364
mb_full_2007_8_1_1_1.txt;2007;Core-Opening [darkgrey];--/ 4.31;596826/64384804
mb_full_2007_8_1_1_1.txt;2007;Border-Opening [grey];--/ 3.35;288218/50009560
mb_full_2008_8_1_1_1.txt;2008;CORE(s) [green];--/--;0
mb_full_2008_8_1_1_1.txt;2008;CORE(m) [green];89.51/47.53;890548
mb_full_2008_8_1_1_1.txt;2008;CORE(l) [green];--/--;0
mb_full_2008_8_1_1_1.txt;2008;ISLET [brown];0.54/ 0.29;464734
mb_full_2008_8_1_1_1.txt;2008;PERFORATION [blue];2.60/ 1.38;306727
mb_full_2008_8_1_1_1.txt;2008;EDGE [black];5.48/ 2.91;677309
mb_full_2008_8_1_1_1.txt;2008;LOOP [yellow];0.00/ 0.00;0
mb_full_2008_8_1_1_1.txt;2008;BRIDGE [red];0.38/ 0.20;638403
mb_full_2008_8_1_1_1.txt;2008;BRANCH [orange];1.48/ 0.79;3978482
mb_full_2008_8_1_1_1.txt;2008;Background [grey];--/46.90;861798/700972462
mb_full_2008_8_1_1_1.txt;2008;Missing [white];45.38;131/1242037598
mb_full_2008_8_1_1_1.txt;2008;Opening [grey];87.34 Integrity;860137/115011860
mb_full_2008_8_1_1_1.txt;2008;Core-Opening [darkgrey];--/ 4.46;582537/66694412
mb_full_2008_8_1_1_1.txt;2008;Border-Opening [grey];--/ 3.23;277600/48317448
mb_full_2009_8_1_1_1.txt;2009;CORE(s) [green];--/--;0
mb_full_2009_8_1_1_1.txt;2009;CORE(m) [green];89.30/46.89;901564
